game_name,game_release_date,game_url
The Walking Dead: Saints & Sinners,"23 Jan, 2020",https://store.steampowered.com/app/916840/The_Walking_Dead_Saints__Sinners/?snr=1_7_7_topsellers_150_5
The Escapists 2,"21 Aug, 2017",https://store.steampowered.com/app/641990/The_Escapists_2/?snr=1_7_7_topsellers_150_5
Temtem,"21 Jan, 2020",https://store.steampowered.com/app/745920/Temtem/?snr=1_7_7_topsellers_150_5
DC Universe Online™ - Ultimate Edition (2016),"23 Jun, 2016",https://store.steampowered.com/app/494391/DC_Universe_Online__Ultimate_Edition_2016/?snr=1_7_7_topsellers_150_6
Fantasy Grounds Ultimate License,,https://store.steampowered.com/bundle/1689/Fantasy_Grounds_Ultimate_License/?snr=1_7_7_topsellers_150_6
Deep Ocean Bundle,,https://store.steampowered.com/bundle/10076/Deep_Ocean_Bundle/?snr=1_7_7_topsellers_150_6
Dawn of Man + Planetbase,,https://store.steampowered.com/bundle/10584/Dawn_of_Man__Planetbase/?snr=1_7_7_topsellers_150_6
Indivisible,"8 Oct, 2019",https://store.steampowered.com/app/421170/Indivisible/?snr=1_7_7_topsellers_150_6
RimWorld,"17 Oct, 2018",https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_topsellers_150_6
BeamNG.drive,"29 May, 2015",https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_topsellers_150_6
Marvel's Avengers,"4 Sep, 2020",https://store.steampowered.com/app/997070/Marvels_Avengers/?snr=1_7_7_topsellers_150_6
Kingdom Come: Deliverance,"13 Feb, 2018",https://store.steampowered.com/app/379430/Kingdom_Come_Deliverance/?snr=1_7_7_topsellers_150_6
Kingdom Under Fire 2 - Hero Edition,"18 Nov, 2019",https://store.steampowered.com/sub/384856/?snr=1_7_7_topsellers_150_6
Subnautica: Below Zero,"30 Jan, 2019",https://store.steampowered.com/app/848450/Subnautica_Below_Zero/?snr=1_7_7_topsellers_150_6
Rivals of Aether,"28 Mar, 2017",https://store.steampowered.com/app/383980/Rivals_of_Aether/?snr=1_7_7_topsellers_150_6
Don't Starve Together,"21 Apr, 2016",https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_topsellers_150_6
Don't Starve MEGA PACK 2019,,https://store.steampowered.com/bundle/12266/Dont_Starve_MEGA_PACK_2019/?snr=1_7_7_topsellers_150_6
DARK SOULS™: REMASTERED,"23 May, 2018",https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_7_7_topsellers_150_6
